ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-18T09:28:13Z,idle-baseline,1,0.50,124.7,3915.8,3.18,39,0.01,245.6,3915.8,6.27,43,0.22,123.0,3915.8,3.14,12,0.02,14.2,3915.8,0.36,9,11,250,21,3915,1176,2739,0.08
2026-09-18T09:28:20Z,idle-baseline,2,0.45,124.7,3915.8,3.18,39,0.02,245.6,3915.8,6.27,43,0.22,123.0,3915.8,3.14,12,0.00,14.2,3915.8,0.36,9,11,250,21,3915,1177,2738,0.07
2026-09-18T09:28:28Z,idle-baseline,3,0.42,124.7,3915.8,3.18,39,0.01,245.6,3915.8,6.27,43,0.23,123.0,3915.8,3.14,12,0.00,14.2,3915.8,0.36,9,11,250,21,3915,1172,2743,0.06
2026-09-18T09:28:35Z,idle-baseline,4,0.44,124.7,3915.8,3.18,39,0.01,245.6,3915.8,6.27,43,0.22,123.0,3915.8,3.14,12,0.00,14.2,3915.8,0.36,9,11,250,21,3915,1185,2730,0.05
2026-09-18T09:28:43Z,idle-baseline,5,0.45,124.7,3915.8,3.19,39,0.01,245.6,3915.8,6.27,43,0.26,123.0,3915.8,3.14,12,0.00,14.2,3915.8,0.36,9,11,250,21,3915,1177,2738,0.05
2026-09-18T09:28:50Z,idle-baseline,6,0.45,124.7,3915.8,3.19,39,0.03,245.6,3915.8,6.27,43,0.25,123.0,3915.8,3.14,12,0.00,14.2,3915.8,0.36,9,11,250,21,3915,1178,2737,0.04
2026-09-18T09:28:58Z,idle-baseline,7,0.38,124.7,3915.8,3.19,39,0.01,245.6,3915.8,6.27,43,0.24,123.0,3915.8,3.14,12,0.00,14.2,3915.8,0.36,9,11,250,21,3915,1195,2720,0.04
2026-09-18T09:29:05Z,idle-baseline,8,0.43,124.7,3915.8,3.19,39,0.02,245.6,3915.8,6.27,43,32.36,133.4,3915.8,3.41,13,0.00,14.2,3915.8,0.36,9,11,250,21,3915,1180,2735,0.11
2026-09-18T09:29:13Z,idle-baseline,9,0.41,124.7,3915.8,3.19,39,0.01,245.6,3915.8,6.27,43,0.22,123.0,3915.8,3.14,12,0.00,14.2,3915.8,0.36,9,11,250,21,3915,1188,2727,0.10
2026-09-18T09:29:20Z,idle-baseline,10,0.52,124.7,3915.8,3.19,39,0.01,245.6,3915.8,6.27,43,0.26,123.0,3915.8,3.14,12,0.00,14.2,3915.8,0.36,9,11,250,21,3915,1188,2727,0.09
2026-09-18T09:29:28Z,idle-baseline,11,6.31,124.7,3915.8,3.19,39,0.12,245.6,3915.8,6.27,45,0.25,123.0,3915.8,3.14,12,0.00,14.2,3915.8,0.36,9,11,250,21,3915,1189,2726,0.08
