ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-18T09:34:03Z,load-real,1,0.39,124.7,3915.8,3.19,39,7.61,245.6,3915.8,6.27,43,0.22,123.0,3915.8,3.14,12,0.05,11.9,3915.8,0.30,9,11,250,21,3915,1198,2717,0.12
2026-09-18T09:34:11Z,load-real,2,0.49,124.7,3915.8,3.19,39,0.01,245.6,3915.8,6.27,43,48.25,134.6,3915.8,3.44,13,0.00,11.9,3915.8,0.30,9,11,250,21,3915,1176,2739,0.10
2026-09-18T09:34:18Z,load-real,3,0.42,124.7,3915.8,3.19,39,0.01,245.6,3915.8,6.27,43,0.29,123.0,3915.8,3.14,12,0.00,11.9,3915.8,0.30,9,11,250,21,3915,1179,2736,0.09
2026-09-18T09:34:25Z,load-real,4,0.42,124.7,3915.8,3.19,39,0.02,245.6,3915.8,6.27,43,0.23,123.0,3915.8,3.14,12,0.24,12.0,3915.8,0.31,9,11,250,21,3915,1185,2730,0.08
2026-09-18T09:34:33Z,load-real,5,0.47,124.7,3915.8,3.19,39,6.48,245.6,3915.8,6.27,45,0.21,123.0,3915.8,3.14,12,0.19,12.1,3915.8,0.31,9,11,250,21,3915,1181,2733,0.07
2026-09-18T09:34:40Z,load-real,6,0.36,124.7,3915.8,3.19,39,0.02,245.6,3915.8,6.27,45,0.21,123.0,3915.8,3.14,12,0.17,12.2,3915.8,0.31,9,11,250,21,3915,1180,2735,0.06
2026-09-18T09:34:48Z,load-real,7,0.29,124.7,3915.8,3.19,39,0.02,245.6,3915.8,6.27,45,0.20,123.0,3915.8,3.14,12,0.23,12.2,3915.8,0.31,9,11,250,21,3915,1189,2726,0.05
2026-09-18T09:34:55Z,load-real,8,40.09,126.2,3915.8,3.22,41,61.60,246.9,3915.8,6.31,47,1.20,123.0,3915.8,3.14,12,0.27,15.3,3915.8,0.39,9,12,250,22,3915,1182,2733,0.29
2026-09-18T09:35:03Z,load-real,9,45.14,132.4,3915.8,3.38,43,90.96,249.5,3915.8,6.37,50,0.33,123.0,3915.8,3.14,12,1.04,18.1,3915.8,0.46,9,13,250,27,3915,1188,2727,0.34
2026-09-18T09:35:11Z,load-real,10,51.92,135.4,3915.8,3.46,45,74.40,252.4,3915.8,6.44,53,19.84,123.3,3915.8,3.15,12,1.07,21.1,3915.8,0.54,9,14,250,42,3915,1203,2712,0.60
2026-09-18T09:35:19Z,load-real,11,40.27,136.2,3915.8,3.48,47,70.96,256.2,3915.8,6.54,58,16.94,123.8,3915.8,3.16,12,0.91,24.2,3915.8,0.62,9,15,250,43,3915,1211,2704,0.80
2026-09-18T09:35:27Z,load-real,12,50.32,141.8,3915.8,3.62,47,61.72,260.4,3915.8,6.65,60,9.31,125.6,3915.8,3.21,12,0.54,24.7,3915.8,0.63,9,15,250,32,3915,1219,2696,1.35
2026-09-18T09:35:34Z,load-real,13,10.37,125.0,3915.8,3.19,42,16.29,262.2,3915.8,6.70,60,6.73,115.1,3915.8,2.94,16,0.21,25.2,3915.8,0.64,9,12,250,23,3915,1213,2702,1.24
2026-09-18T09:35:41Z,load-real,14,0.55,125.3,3915.8,3.20,41,12.81,262.6,3915.8,6.71,60,0.22,116.0,3915.8,2.96,17,0.00,25.9,3915.8,0.66,9,12,250,23,3915,1211,2704,1.05
2026-09-18T09:35:49Z,load-real,15,3.29,122.4,3915.8,3.13,39,3.44,262.8,3915.8,6.71,60,5.82,116.3,3915.8,2.97,17,0.40,26.1,3915.8,0.67,9,11,250,23,3915,1196,2719,0.97
2026-09-18T09:35:56Z,load-real,16,0.53,122.4,3915.8,3.13,39,0.06,262.8,3915.8,6.71,60,1.01,116.4,3915.8,2.97,17,0.36,26.1,3915.8,0.67,9,11,250,21,3915,1202,2713,0.82
2026-09-18T09:36:04Z,load-real,17,5.16,122.4,3915.8,3.13,39,8.33,262.8,3915.8,6.71,60,4.26,116.4,3915.8,2.97,17,0.00,26.1,3915.8,0.67,9,11,250,21,3915,1200,2715,0.75
2026-09-18T09:36:11Z,load-real,18,0.45,122.4,3915.8,3.13,39,0.02,262.8,3915.8,6.71,60,1.85,116.5,3915.8,2.97,17,0.00,26.2,3915.8,0.67,9,11,250,21,3915,1192,2723,0.64
2026-09-18T09:36:19Z,load-real,19,0.49,122.4,3915.8,3.13,39,0.05,262.8,3915.8,6.71,60,0.33,116.5,3915.8,2.97,17,0.46,26.2,3915.8,0.67,9,11,250,22,3915,1191,2724,0.58
2026-09-18T09:36:26Z,load-real,20,0.51,122.4,3915.8,3.13,39,0.01,262.8,3915.8,6.71,60,0.23,116.5,3915.8,2.97,17,0.03,26.3,3915.8,0.67,9,11,250,21,3915,1193,2722,0.57
2026-09-18T09:36:34Z,load-real,21,88.10,123.7,3915.8,3.16,41,84.51,264.2,3915.8,6.75,59,0.20,116.5,3915.8,2.97,17,0.89,27.1,3915.8,0.69,9,12,250,30,3915,1209,2706,2.08
2026-09-18T09:36:42Z,load-real,22,103.22,177.1,3915.8,4.52,69,91.85,268.6,3915.8,6.86,66,0.17,116.5,3915.8,2.97,17,1.33,33.9,3915.8,0.87,9,26,250,62,3915,1250,2665,3.28
2026-09-18T09:36:51Z,load-real,23,96.55,238.2,3915.8,6.08,99,94.02,279.7,3915.8,7.14,134,4.89,119.3,3915.8,3.05,17,0.92,37.0,3915.8,0.94,9,43,250,141,3915,1349,2566,7.66
2026-09-18T09:36:59Z,load-real,24,94.70,289.9,3915.8,7.40,134,79.84,294.4,3915.8,7.52,166,19.82,115.3,3915.8,2.95,17,1.16,41.9,3915.8,1.07,9,58,250,150,3915,1400,2515,13.45
2026-09-18T09:37:09Z,load-real,25,86.42,309.0,3915.8,7.89,126,98.79,304.5,3915.8,7.78,166,8.32,119.0,3915.8,3.04,17,1.29,47.8,3915.8,1.22,9,54,250,138,3915,1442,2472,14.70
2026-09-18T09:37:18Z,load-real,26,65.50,320.1,3915.8,8.17,119,88.73,311.2,3915.8,7.95,166,43.73,121.3,3915.8,3.10,17,1.07,52.6,3915.8,1.34,9,51,250,146,3915,1467,2448,16.82
2026-09-18T09:37:28Z,load-real,27,83.42,305.4,3915.8,7.80,115,89.58,315.4,3915.8,8.05,166,20.69,122.5,3915.8,3.13,17,0.97,53.0,3915.8,1.35,9,49,250,149,3915,1465,2450,20.47
2026-09-18T09:37:37Z,load-real,28,76.34,326.2,3915.8,8.33,105,96.85,319.9,3915.8,8.17,166,18.94,126.4,3915.8,3.23,18,0.78,56.2,3915.8,1.43,9,51,250,126,3915,1480,2435,22.19
2026-09-18T09:37:46Z,load-real,29,71.90,311.7,3915.8,7.96,113,110.99,324.6,3915.8,8.29,166,19.52,122.6,3915.8,3.13,17,0.54,56.4,3915.8,1.44,9,48,250,104,3915,1473,2442,22.41
