ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-18T10:02:48Z,load-fault,1,0.34,124.6,3915.8,3.18,39,0.02,324.7,3915.8,8.29,51,0.21,127.4,3915.8,3.25,17,0.00,14.4,3915.8,0.37,9,11,250,21,3915,1268,2647,0.15
2026-09-18T10:02:56Z,load-fault,2,24.81,124.8,3915.8,3.19,39,47.77,325.0,3915.8,8.30,53,0.22,127.4,3915.8,3.25,17,0.52,17.0,3915.8,0.43,9,11,250,24,3915,1273,2642,0.69
2026-09-18T10:03:03Z,load-fault,3,36.06,132.4,3915.8,3.38,43,58.76,325.5,3915.8,8.31,54,13.49,127.5,3915.8,3.26,17,0.40,17.3,3915.8,0.44,9,13,250,25,3915,1266,2649,0.71
2026-09-18T10:03:11Z,load-fault,4,55.65,139.1,3915.8,3.55,45,56.98,326.1,3915.8,8.33,54,9.29,127.5,3915.8,3.26,17,1.07,20.2,3915.8,0.52,9,14,250,29,3915,1266,2649,1.23
2026-09-18T10:03:19Z,load-fault,5,61.26,139.0,3915.8,3.55,47,65.53,326.5,3915.8,8.34,54,21.16,122.5,3915.8,3.13,17,0.54,23.0,3915.8,0.59,9,15,250,42,3915,1259,2656,1.21
2026-09-18T10:03:27Z,load-fault,6,50.08,140.3,3915.8,3.58,47,87.94,327.1,3915.8,8.35,56,12.36,122.8,3915.8,3.14,17,1.01,23.1,3915.8,0.59,9,15,250,29,3915,1262,2653,1.33
2026-09-18T10:03:34Z,load-fault,7,2.55,120.3,3915.8,3.07,40,0.28,327.1,3915.8,8.35,56,0.23,122.8,3915.8,3.14,17,0.08,23.2,3915.8,0.59,9,11,250,19,3915,1260,2654,1.23
2026-09-18T10:03:42Z,load-fault,8,75.81,123.9,3915.8,3.16,39,60.70,327.3,3915.8,8.36,56,0.19,122.8,3915.8,3.14,17,0.38,23.3,3915.8,0.59,9,11,250,28,3915,1257,2658,1.20
2026-09-18T10:03:50Z,load-fault,9,105.84,166.8,3915.8,4.26,67,83.46,328.5,3915.8,8.39,66,4.78,122.8,3915.8,3.14,17,1.30,33.2,3915.8,0.85,9,25,250,60,3915,1302,2613,3.12
2026-09-18T10:03:58Z,load-fault,10,100.17,234.3,3915.8,5.98,97,92.60,332.2,3915.8,8.48,126,1.17,122.9,3915.8,3.14,17,1.35,41.4,3915.8,1.06,9,40,250,119,3915,1390,2525,5.11
