ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-18T11:46:20Z,perf-fix-real,1,0.48,127.8,3915.8,3.26,39,0.01,340.5,3915.8,8.69,48,0.22,92.5,3915.8,2.36,8,0.00,13.6,3915.8,0.35,9,11,250,21,3915,1226,2689,0.18
2026-09-18T11:46:28Z,perf-fix-real,2,50.20,127.8,3915.8,3.26,39,32.26,340.6,3915.8,8.70,50,0.18,92.5,3915.8,2.36,8,0.43,13.7,3915.8,0.35,9,11,250,22,3915,1222,2693,0.15
2026-09-18T11:46:36Z,perf-fix-real,3,50.35,132.4,3915.8,3.38,41,86.74,340.9,3915.8,8.71,52,6.39,100.3,3915.8,2.56,12,1.12,19.2,3915.8,0.49,9,14,250,23,3915,1247,2668,0.22
2026-09-18T11:46:43Z,perf-fix-real,4,38.23,134.8,3915.8,3.44,47,70.55,341.3,3915.8,8.72,52,5.00,102.2,3915.8,2.61,12,0.65,19.4,3915.8,0.50,9,15,250,37,3915,1240,2675,0.57
2026-09-18T11:46:51Z,perf-fix-real,5,65.42,134.4,3915.8,3.43,47,60.35,342.1,3915.8,8.74,52,5.46,104.6,3915.8,2.67,12,0.14,19.8,3915.8,0.51,9,15,250,24,3915,1252,2663,1.01
2026-09-18T11:46:59Z,perf-fix-real,6,67.81,138.2,3915.8,3.53,49,71.13,342.3,3915.8,8.74,52,8.39,107.1,3915.8,2.74,13,0.64,22.9,3915.8,0.58,9,16,250,26,3915,1257,2658,1.09
2026-09-18T11:47:07Z,perf-fix-real,7,54.58,139.9,3915.8,3.57,49,68.06,342.7,3915.8,8.75,52,27.23,109.8,3915.8,2.80,16,1.02,23.0,3915.8,0.59,9,16,250,39,3915,1261,2654,1.72
2026-09-18T11:47:14Z,perf-fix-real,8,5.80,137.1,3915.8,3.50,50,0.04,342.8,3915.8,8.75,53,3.69,111.1,3915.8,2.84,17,0.00,23.0,3915.8,0.59,9,15,250,25,3915,1260,2655,1.58
2026-09-18T11:47:21Z,perf-fix-real,9,0.54,131.7,3915.8,3.36,43,0.05,342.8,3915.8,8.75,53,0.52,111.1,3915.8,2.84,17,0.54,23.1,3915.8,0.59,9,13,250,23,3915,1251,2664,1.34
2026-09-18T11:47:29Z,perf-fix-real,10,0.56,133.2,3915.8,3.40,43,0.01,342.8,3915.8,8.75,53,1.50,111.3,3915.8,2.84,17,0.00,23.1,3915.8,0.59,9,13,250,25,3915,1255,2660,1.23
2026-09-18T11:47:36Z,perf-fix-real,11,5.27,124.5,3915.8,3.18,39,3.70,342.8,3915.8,8.75,53,3.03,111.4,3915.8,2.84,17,0.00,23.1,3915.8,0.59,9,11,250,21,3915,1256,2659,1.04
2026-09-18T11:47:44Z,perf-fix-real,12,0.49,124.5,3915.8,3.18,39,0.01,342.8,3915.8,8.75,53,0.25,111.5,3915.8,2.85,17,0.02,23.1,3915.8,0.59,9,11,250,21,3915,1248,2667,0.96
2026-09-18T11:47:51Z,perf-fix-real,13,3.41,124.8,3915.8,3.19,39,3.19,342.8,3915.8,8.75,53,1.54,111.5,3915.8,2.85,17,0.52,23.1,3915.8,0.59,9,11,250,21,3915,1256,2659,0.81
2026-09-18T11:47:59Z,perf-fix-real,14,0.57,124.8,3915.8,3.19,39,0.01,342.8,3915.8,8.75,53,0.24,111.5,3915.8,2.85,17,0.00,23.1,3915.8,0.59,9,11,250,21,3915,1247,2668,0.74
