ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-18T11:52:28Z,perf-fix-fault,1,0.52,126.9,3915.8,3.24,39,0.01,364.4,3915.8,9.31,161,0.27,117.4,3915.8,3.00,17,0.00,85.2,3915.8,2.18,9,11,250,21,3915,1347,2568,1.53
2026-09-18T11:52:36Z,perf-fix-fault,2,35.20,131.5,3915.8,3.36,39,42.50,364.6,3915.8,9.31,165,0.18,117.4,3915.8,3.00,17,0.19,85.2,3915.8,2.18,9,11,250,24,3915,1361,2554,1.53
2026-09-18T11:52:44Z,perf-fix-fault,3,79.26,131.2,3915.8,3.35,45,73.58,365.1,3915.8,9.32,166,3.56,117.4,3915.8,3.00,17,0.63,85.2,3915.8,2.18,9,14,250,23,3915,1361,2554,1.49
2026-09-18T11:52:52Z,perf-fix-fault,4,67.50,146.1,3915.8,3.73,47,69.07,365.5,3915.8,9.33,166,5.79,117.4,3915.8,3.00,17,1.11,85.2,3915.8,2.18,9,16,250,43,3915,1365,2550,1.64
2026-09-18T11:52:59Z,perf-fix-fault,5,30.24,146.3,3915.8,3.74,49,63.24,366.0,3915.8,9.35,166,4.59,114.7,3915.8,2.93,17,0.60,85.2,3915.8,2.18,9,16,250,45,3915,1356,2559,1.83
2026-09-18T11:53:07Z,perf-fix-fault,6,58.44,145.8,3915.8,3.72,49,71.96,366.4,3915.8,9.36,166,12.97,115.0,3915.8,2.94,17,1.04,85.2,3915.8,2.18,9,16,250,31,3915,1373,2541,2.33
2026-09-18T11:53:14Z,perf-fix-fault,7,0.73,142.9,3915.8,3.65,49,0.03,366.6,3915.8,9.36,166,6.11,117.5,3915.8,3.00,18,0.00,85.2,3915.8,2.18,9,16,250,29,3915,1366,2549,2.30
2026-09-18T11:53:22Z,perf-fix-fault,8,3.25,128.2,3915.8,3.27,26,0.05,366.6,3915.8,9.36,166,0.23,115.1,3915.8,2.94,17,0.00,64.5,3915.8,1.65,9,12,250,23,3915,1342,2573,1.95
2026-09-18T11:53:30Z,perf-fix-fault,9,101.21,142.8,3915.8,3.65,55,92.64,367.1,3915.8,9.37,166,0.21,115.1,3915.8,2.94,17,1.04,64.5,3915.8,1.65,9,19,250,39,3915,1337,2578,2.27
2026-09-18T11:53:39Z,perf-fix-fault,10,103.53,208.4,3915.8,5.32,83,91.19,368.9,3915.8,9.42,166,1.87,115.0,3915.8,2.94,17,0.93,54.9,3915.8,1.40,9,33,250,88,3915,1373,2541,4.73
2026-09-18T11:53:47Z,perf-fix-fault,11,101.77,258.5,3915.8,6.60,114,63.63,369.7,3915.8,9.44,166,54.66,115.0,3915.8,2.94,17,1.47,57.7,3915.8,1.47,9,48,250,124,3915,1434,2481,9.04
2026-09-18T11:53:56Z,perf-fix-fault,12,99.08,298.6,3915.8,7.63,127,83.29,370.4,3915.8,9.46,166,14.00,115.0,3915.8,2.94,17,1.23,57.2,3915.8,1.46,9,55,250,148,3915,1469,2446,12.00
2026-09-18T11:54:05Z,perf-fix-fault,13,82.45,321.6,3915.8,8.21,125,114.84,371.7,3915.8,9.49,166,4.70,114.8,3915.8,2.93,17,1.20,62.4,3915.8,1.59,9,54,250,137,3915,1497,2418,15.78
2026-09-18T11:54:13Z,perf-fix-fault,14,83.63,317.5,3915.8,8.11,118,104.05,373.0,3915.8,9.53,166,12.21,114.9,3915.8,2.93,17,1.34,70.6,3915.8,1.80,9,50,250,126,3915,1499,2416,17.92
2026-09-18T11:54:23Z,perf-fix-fault,15,90.58,304.7,3915.8,7.78,114,95.31,374.4,3915.8,9.56,166,7.62,115.0,3915.8,2.94,17,2.08,73.8,3915.8,1.88,9,48,250,139,3915,1504,2411,20.51
2026-09-18T11:54:32Z,perf-fix-fault,16,84.47,323.1,3915.8,8.25,122,101.97,375.4,3915.8,9.59,166,9.44,115.1,3915.8,2.94,17,0.84,74.4,3915.8,1.90,9,52,250,122,3915,1515,2400,21.88
2026-09-18T11:54:41Z,perf-fix-fault,17,71.36,282.8,3915.8,7.22,108,97.56,376.7,3915.8,9.62,166,11.72,115.2,3915.8,2.94,17,0.80,75.1,3915.8,1.92,9,45,250,111,3915,1481,2434,21.76
2026-09-18T11:54:49Z,perf-fix-fault,18,59.35,249.1,3915.8,6.36,106,70.58,378.2,3915.8,9.66,166,58.65,126.9,3915.8,3.24,18,0.69,76.2,3915.8,1.95,9,44,250,128,3915,1451,2464,22.74
2026-09-18T11:54:57Z,perf-fix-fault,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA
