ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-19T02:19:23Z,after10,1,46.20,91.4,3915.8,2.33,31,37.52,266.3,3915.8,6.80,63,0.46,91.4,3915.8,2.33,8,0.17,69.8,3915.8,1.78,8,7,250,4,3915,1057,2858,1.16
2026-09-19T02:19:31Z,after10,2,81.67,106.2,3915.8,2.71,35,83.32,268.9,3915.8,6.87,65,0.23,99.4,3915.8,2.54,12,0.36,70.3,3915.8,1.80,8,9,250,10,3915,1074,2841,1.37
2026-09-19T02:19:38Z,after10,3,43.68,109.2,3915.8,2.79,37,69.40,273.2,3915.8,6.98,65,10.38,102.7,3915.8,2.62,12,0.56,71.8,3915.8,1.83,8,10,250,12,3915,1094,2821,1.50
2026-09-19T02:19:46Z,after10,4,72.89,107.3,3915.8,2.74,37,56.36,276.1,3915.8,7.05,65,17.68,105.4,3915.8,2.69,12,0.65,71.8,3915.8,1.83,8,10,250,10,3915,1106,2809,1.58
2026-09-19T02:19:54Z,after10,5,42.34,109.0,3915.8,2.78,39,78.70,279.4,3915.8,7.14,65,7.93,107.7,3915.8,2.75,12,0.84,71.8,3915.8,1.83,8,11,250,15,3915,1093,2822,1.53
2026-09-19T02:20:02Z,after10,6,26.24,109.5,3915.8,2.80,39,4.94,281.2,3915.8,7.18,65,40.82,109.5,3915.8,2.80,17,4.52,71.8,3915.8,1.83,8,11,250,17,3915,1105,2810,1.52
2026-09-19T02:20:09Z,after10,7,0.59,109.8,3915.8,2.80,39,0.03,281.6,3915.8,7.19,65,1.47,110.1,3915.8,2.81,17,0.00,71.8,3915.8,1.83,8,11,250,17,3915,1109,2806,1.39
2026-09-19T02:20:17Z,after10,8,0.56,112.7,3915.8,2.88,39,0.01,282.2,3915.8,7.21,65,0.29,110.1,3915.8,2.81,17,0.03,71.8,3915.8,1.83,8,11,250,19,3915,1110,2804,1.47
2026-09-19T02:20:24Z,after10,9,0.57,110.9,3915.8,2.83,39,0.01,282.3,3915.8,7.21,65,0.25,110.3,3915.8,2.82,17,0.03,70.5,3915.8,1.80,8,11,250,19,3915,1110,2805,1.36
2026-09-19T02:20:32Z,after10,10,0.43,110.9,3915.8,2.83,39,0.01,282.3,3915.8,7.21,65,0.23,110.3,3915.8,2.82,17,0.08,70.5,3915.8,1.80,8,11,250,19,3915,1108,2807,1.15
2026-09-19T02:20:39Z,after10,11,0.70,110.9,3915.8,2.83,39,0.02,282.3,3915.8,7.21,65,0.60,110.3,3915.8,2.82,17,0.00,70.7,3915.8,1.80,8,11,250,19,3915,1109,2806,1.05
2026-09-19T02:20:47Z,after10,12,0.60,110.9,3915.8,2.83,39,0.02,282.3,3915.8,7.21,65,0.26,110.3,3915.8,2.82,17,0.00,70.7,3915.8,1.80,8,11,250,19,3915,1112,2803,0.89
2026-09-19T02:20:54Z,after10,13,0.56,111.5,3915.8,2.85,39,0.01,282.3,3915.8,7.21,65,1.58,110.4,3915.8,2.82,17,0.00,70.7,3915.8,1.80,8,11,250,19,3915,1119,2796,0.82
