ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-19T02:16:13Z,before10,1,82.84,93.6,3915.8,2.39,31,0.04,222.4,3915.8,5.68,16,0.54,92.8,3915.8,2.37,8,1.12,51.0,3915.8,1.30,8,7,250,3,3915,993,2922,1.04
2026-09-19T02:16:21Z,before10,2,61.73,108.4,3915.8,2.77,35,83.07,227.4,3915.8,5.81,23,42.81,99.7,3915.8,2.55,8,0.84,52.7,3915.8,1.35,8,9,250,10,3915,1009,2905,1.12
2026-09-19T02:16:29Z,before10,3,61.72,126.1,3915.8,3.22,49,78.20,245.4,3915.8,6.27,48,6.35,105.2,3915.8,2.69,12,0.40,54.2,3915.8,1.39,8,16,250,25,3915,1059,2856,1.27
2026-09-19T02:16:37Z,before10,4,103.13,128.0,3915.8,3.27,49,73.09,252.1,3915.8,6.44,51,4.60,107.2,3915.8,2.74,12,0.22,55.8,3915.8,1.42,8,16,250,29,3915,1064,2851,2.41
2026-09-19T02:16:45Z,before10,5,72.16,142.0,3915.8,3.63,51,98.40,256.8,3915.8,6.56,60,14.03,108.4,3915.8,2.77,12,1.16,56.1,3915.8,1.43,8,17,250,51,3915,1085,2830,2.54
2026-09-19T02:16:53Z,before10,6,45.40,143.8,3915.8,3.67,53,76.85,262.9,3915.8,6.71,65,5.95,111.0,3915.8,2.84,13,0.38,56.4,3915.8,1.44,8,18,250,46,3915,1089,2826,2.90
2026-09-19T02:17:00Z,before10,7,4.35,140.6,3915.8,3.59,53,3.25,264.7,3915.8,6.76,65,15.61,113.1,3915.8,2.89,13,0.00,56.7,3915.8,1.45,8,18,250,33,3915,1099,2816,2.78
2026-09-19T02:17:08Z,before10,8,10.12,124.7,3915.8,3.19,43,6.84,265.9,3915.8,6.79,65,7.65,113.3,3915.8,2.89,13,0.69,57.5,3915.8,1.47,8,13,250,25,3915,1096,2819,2.63
2026-09-19T02:17:15Z,before10,9,7.51,125.0,3915.8,3.19,43,5.80,266.1,3915.8,6.79,65,3.04,113.7,3915.8,2.90,14,0.21,58.7,3915.8,1.50,8,13,250,25,3915,1096,2819,2.39
2026-09-19T02:17:23Z,before10,10,0.54,120.7,3915.8,3.08,41,3.03,266.1,3915.8,6.79,65,1.15,113.8,3915.8,2.90,14,0.42,58.9,3915.8,1.50,8,12,250,23,3915,1096,2819,2.20
