ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-19T03:10:39Z,post-batch-ceiling,1,0.63,119.4,3915.8,3.05,39,0.06,396.1,3915.8,10.12,161,0.31,122.1,3915.8,3.12,17,0.00,136.5,3915.8,3.49,9,11,250,21,3915,1291,2623,4.29
2026-09-19T03:10:46Z,post-batch-ceiling,2,0.70,119.4,3915.8,3.05,39,0.01,396.1,3915.8,10.12,161,0.26,122.1,3915.8,3.12,17,0.00,136.5,3915.8,3.49,9,11,250,21,3915,1291,2624,3.71
2026-09-19T03:10:54Z,post-batch-ceiling,3,97.54,123.7,3915.8,3.16,39,106.67,396.5,3915.8,10.13,166,0.31,122.1,3915.8,3.12,17,0.88,136.5,3915.8,3.49,9,11,250,27,3915,1295,2620,3.73
2026-09-19T03:11:03Z,post-batch-ceiling,4,121.20,127.5,3915.8,3.26,45,125.02,396.9,3915.8,10.13,166,9.96,122.5,3915.8,3.13,17,2.59,82.9,3915.8,2.12,9,15,250,33,3915,1272,2643,4.15
2026-09-19T03:11:12Z,post-batch-ceiling,5,107.52,152.6,3915.8,3.90,57,99.95,397.4,3915.8,10.15,166,5.03,123.5,3915.8,3.15,17,0.43,80.4,3915.8,2.05,9,20,250,47,3915,1288,2627,5.60
2026-09-19T03:11:21Z,post-batch-ceiling,6,131.13,175.7,3915.8,4.49,69,122.87,397.9,3915.8,10.16,166,20.65,123.5,3915.8,3.15,17,1.88,85.5,3915.8,2.18,9,26,250,69,3915,1317,2597,6.19
2026-09-19T03:11:30Z,post-batch-ceiling,7,99.96,197.2,3915.8,5.04,75,128.89,398.4,3915.8,10.17,166,12.45,122.5,3915.8,3.13,17,1.41,91.0,3915.8,2.32,9,29,250,67,3915,1333,2582,8.03
2026-09-19T03:11:39Z,post-batch-ceiling,8,70.53,201.2,3915.8,5.14,56,95.16,399.0,3915.8,10.19,166,47.04,122.7,3915.8,3.13,17,1.63,93.3,3915.8,2.38,9,27,250,72,3915,1335,2580,8.80
2026-09-19T03:11:47Z,post-batch-ceiling,9,79.63,188.8,3915.8,4.82,51,97.39,399.5,3915.8,10.20,166,30.54,124.2,3915.8,3.17,18,2.89,85.2,3915.8,2.18,9,25,250,63,3915,1313,2601,9.21
2026-09-19T03:11:55Z,post-batch-ceiling,10,35.48,155.5,3915.8,3.97,58,40.66,399.9,3915.8,10.21,166,8.07,125.1,3915.8,3.19,18,0.00,85.3,3915.8,2.18,9,19,250,37,3915,1292,2623,8.55
