ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-18T23:22:34Z,idle,1,0.36,89.9,7941.1,1.13,33,0.01,182.1,7941.1,2.29,18,0.19,91.5,7941.1,1.15,8,0.09,17.5,7941.1,0.22,9,8,250,1,7941,1070,6870,0.29
2026-09-18T23:22:41Z,idle,2,0.35,89.9,7941.1,1.13,33,0.01,182.1,7941.1,2.29,17,0.23,91.5,7941.1,1.15,8,0.00,17.3,7941.1,0.22,9,8,250,1,7941,1063,6877,0.27
2026-09-18T23:22:49Z,idle,3,0.36,89.9,7941.1,1.13,33,0.01,182.1,7941.1,2.29,15,0.21,91.5,7941.1,1.15,8,0.00,17.3,7941.1,0.22,9,8,250,1,7941,1060,6880,0.23
2026-09-18T23:22:56Z,idle,4,0.32,89.9,7941.1,1.13,33,0.01,182.1,7941.1,2.29,15,0.21,91.5,7941.1,1.15,8,0.04,17.3,7941.1,0.22,9,8,250,1,7941,1059,6881,0.21
2026-09-18T23:23:04Z,idle,5,0.40,89.9,7941.1,1.13,33,0.01,182.1,7941.1,2.29,15,0.22,91.5,7941.1,1.15,8,0.00,17.3,7941.1,0.22,9,8,250,1,7941,1046,6894,0.18
2026-09-18T23:23:11Z,idle,6,0.42,90.0,7941.1,1.13,33,0.01,182.1,7941.1,2.29,15,0.23,91.5,7941.1,1.15,8,0.00,17.3,7941.1,0.22,9,8,250,1,7941,1058,6882,0.16
2026-09-18T23:23:19Z,idle,7,0.40,90.0,7941.1,1.13,33,0.02,182.2,7941.1,2.29,15,0.19,91.5,7941.1,1.15,8,0.00,17.3,7941.1,0.22,9,8,250,1,7941,1056,6884,0.14
2026-09-18T23:23:26Z,idle,8,0.37,90.0,7941.1,1.13,33,0.02,182.2,7941.1,2.29,15,0.22,91.5,7941.1,1.15,8,0.05,17.3,7941.1,0.22,9,8,250,1,7941,1084,6857,0.12
2026-09-18T23:23:34Z,idle,9,7.77,88.0,7941.1,1.11,33,3.10,182.2,7941.1,2.29,17,0.21,91.5,7941.1,1.15,8,0.42,17.3,7941.1,0.22,9,8,250,1,7941,1069,6871,0.10
2026-09-18T23:23:41Z,idle,10,0.60,88.4,7941.1,1.11,39,0.03,182.2,7941.1,2.29,17,0.23,91.5,7941.1,1.15,8,0.04,17.8,7941.1,0.22,9,11,250,1,7941,1083,6857,0.10
2026-09-18T23:23:49Z,idle,11,0.46,88.4,7941.1,1.11,39,0.02,182.2,7941.1,2.29,17,0.20,91.5,7941.1,1.15,8,0.00,17.8,7941.1,0.22,9,11,250,1,7941,1078,6862,0.08
2026-09-18T23:23:56Z,idle,12,0.49,88.4,7941.1,1.11,39,0.01,182.2,7941.1,2.29,17,0.20,91.5,7941.1,1.15,8,0.07,17.8,7941.1,0.22,9,11,250,1,7941,1080,6860,0.07
2026-09-18T23:24:04Z,idle,13,0.59,90.7,7941.1,1.14,39,0.01,182.3,7941.1,2.30,17,0.19,91.5,7941.1,1.15,8,0.00,18.2,7941.1,0.23,9,11,250,1,7941,1076,6864,0.21
