ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-18T23:35:09Z,real40,1,66.74,110.0,7941.1,1.39,39,62.76,427.7,7941.1,5.39,168,0.58,120.5,7941.1,1.52,19,0.90,81.1,7941.1,1.02,10,11,250,25,7941,1372,6568,5.30
2026-09-18T23:35:17Z,real40,2,174.23,137.0,7941.1,1.72,53,185.50,428.9,7941.1,5.40,169,5.44,120.4,7941.1,1.52,19,1.48,81.2,7941.1,1.02,10,18,250,42,7941,1392,6548,5.19
2026-09-18T23:35:25Z,real40,3,174.82,203.0,7941.1,2.56,89,194.18,430.2,7941.1,5.42,169,12.13,121.6,7941.1,1.53,19,1.61,81.5,7941.1,1.03,10,36,250,93,7941,1462,6478,7.41
2026-09-18T23:35:34Z,real40,4,175.38,237.5,7941.1,2.99,103,184.42,431.8,7941.1,5.44,169,25.88,122.4,7941.1,1.54,19,2.55,81.6,7941.1,1.03,10,43,250,118,7941,1485,6456,10.65
2026-09-18T23:35:42Z,real40,5,153.30,270.2,7941.1,3.40,117,225.95,433.3,7941.1,5.46,169,2.22,122.9,7941.1,1.55,19,1.34,81.8,7941.1,1.03,10,50,250,135,7941,1520,6420,12.84
2026-09-18T23:35:50Z,real40,6,144.51,290.9,7941.1,3.66,115,211.37,435.8,7941.1,5.49,169,29.67,125.1,7941.1,1.58,19,2.35,82.2,7941.1,1.04,10,49,250,127,7941,1539,6401,15.87
2026-09-18T23:35:58Z,real40,7,142.33,265.3,7941.1,3.34,111,173.08,438.8,7941.1,5.53,169,58.25,129.2,7941.1,1.63,21,1.74,82.7,7941.1,1.04,10,47,250,110,7941,1530,6411,15.71
2026-09-18T23:36:06Z,real40,8,19.50,226.5,7941.1,2.85,84,19.78,439.3,7941.1,5.53,169,50.06,131.7,7941.1,1.66,21,0.69,82.8,7941.1,1.04,10,41,250,82,7941,1494,6446,15.09
2026-09-18T23:36:13Z,real40,9,11.97,197.9,7941.1,2.49,84,10.17,439.4,7941.1,5.53,169,8.98,132.2,7941.1,1.67,21,1.46,83.0,7941.1,1.05,10,33,250,67,7941,1462,6478,13.01
2026-09-18T23:36:21Z,real40,10,16.81,169.8,7941.1,2.14,70,24.01,439.4,7941.1,5.53,169,12.19,132.2,7941.1,1.66,21,1.94,82.8,7941.1,1.04,10,26,250,49,7941,1443,6497,11.97
2026-09-18T23:36:28Z,real40,11,7.54,139.9,7941.1,1.76,54,3.58,439.4,7941.1,5.53,169,7.15,132.2,7941.1,1.67,21,0.82,82.7,7941.1,1.04,10,18,250,35,7941,1414,6526,10.69
2026-09-18T23:36:36Z,real40,12,0.65,121.8,7941.1,1.53,43,0.02,439.4,7941.1,5.53,169,1.40,130.7,7941.1,1.65,21,0.00,82.7,7941.1,1.04,10,13,250,25,7941,1395,6545,9.83
2026-09-18T23:36:43Z,real40,13,3.36,114.0,7941.1,1.44,40,0.06,439.4,7941.1,5.53,169,0.35,130.7,7941.1,1.65,21,0.00,82.7,7941.1,1.04,10,11,250,21,7941,1372,6568,8.47
