ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-18T23:54:21Z,real40,1,1.80,144.4,3915.8,3.69,56,0.04,389.5,3915.8,9.95,166,0.13,124.7,3915.8,3.18,17,0.11,99.7,3915.8,2.55,8,19,250,37,3915,1280,2635,11.15
2026-09-18T23:54:29Z,real40,2,92.25,146.8,3915.8,3.75,53,88.58,390.5,3915.8,9.97,166,11.65,126.8,3915.8,3.24,17,1.66,99.9,3915.8,2.55,8,18,250,48,3915,1295,2620,10.81
2026-09-18T23:54:37Z,real40,3,74.90,184.4,3915.8,4.71,83,83.22,391.8,3915.8,10.00,166,7.58,127.7,3915.8,3.26,17,0.92,93.7,3915.8,2.39,8,32,250,89,3915,1317,2598,11.04
2026-09-18T23:54:46Z,real40,4,93.55,225.4,3915.8,5.76,93,92.49,393.8,3915.8,10.06,166,6.64,127.0,3915.8,3.24,17,1.27,93.7,3915.8,2.39,8,38,250,95,3915,1358,2557,12.99
2026-09-18T23:54:54Z,real40,5,99.27,260.6,3915.8,6.65,113,90.19,395.0,3915.8,10.09,166,14.15,127.7,3915.8,3.26,17,1.13,93.8,3915.8,2.40,8,48,250,122,3915,1385,2530,14.60
2026-09-18T23:55:03Z,real40,6,80.75,286.9,3915.8,7.33,114,111.33,396.7,3915.8,10.13,166,8.49,127.7,3915.8,3.26,17,0.82,93.8,3915.8,2.39,8,48,250,128,3915,1384,2531,16.62
2026-09-18T23:55:11Z,real40,7,80.11,284.9,3915.8,7.27,112,98.88,399.4,3915.8,10.20,166,14.02,128.6,3915.8,3.28,17,0.67,93.8,3915.8,2.39,8,47,250,123,3915,1403,2512,18.08
2026-09-18T23:55:19Z,real40,8,59.21,229.5,3915.8,5.86,98,103.57,400.9,3915.8,10.24,166,28.08,133.2,3915.8,3.40,19,0.75,93.8,3915.8,2.39,8,40,250,93,3915,1370,2545,18.07
2026-09-18T23:55:26Z,real40,9,6.21,205.4,3915.8,5.25,86,0.31,400.9,3915.8,10.24,166,3.44,133.8,3915.8,3.42,19,0.13,93.7,3915.8,2.39,8,33,250,65,3915,1353,2561,15.29
2026-09-18T23:55:33Z,real40,10,11.60,172.7,3915.8,4.41,54,12.80,401.0,3915.8,10.24,166,8.30,134.1,3915.8,3.42,19,0.26,93.7,3915.8,2.39,8,26,250,51,3915,1315,2600,14.07
2026-09-18T23:55:41Z,real40,11,1.79,146.8,3915.8,3.75,40,0.06,401.0,3915.8,10.24,166,0.95,133.6,3915.8,3.41,19,0.24,93.7,3915.8,2.39,8,19,250,35,3915,1294,2621,11.91
2026-09-18T23:55:48Z,real40,12,3.59,128.0,3915.8,3.27,29,3.18,401.0,3915.8,10.24,166,6.69,134.0,3915.8,3.42,19,0.31,93.7,3915.8,2.39,8,14,250,27,3915,1282,2633,10.95
2026-09-18T23:55:55Z,real40,13,1.91,125.6,3915.8,3.21,43,1.70,401.0,3915.8,10.24,166,2.28,134.0,3915.8,3.42,19,0.23,93.6,3915.8,2.39,8,13,250,25,3915,1268,2647,9.27
2026-09-18T23:56:03Z,real40,14,2.38,125.9,3915.8,3.21,43,1.67,401.1,3915.8,10.24,166,0.45,134.0,3915.8,3.42,19,0.03,93.6,3915.8,2.39,8,13,250,25,3915,1264,2651,8.53
