ts_utc,label,sample,openemr_cpu_pct,openemr_mem_mib,openemr_mem_limit_mib,openemr_mem_pct,openemr_pids,database_cpu_pct,database_mem_mib,database_mem_limit_mib,database_mem_pct,database_pids,agent_cpu_pct,agent_mem_mib,agent_mem_limit_mib,agent_mem_pct,agent_pids,caddy_cpu_pct,caddy_mem_mib,caddy_mem_limit_mib,caddy_mem_pct,caddy_pids,httpd_procs,httpd_cap,threads_connected,host_mem_total_mb,host_mem_used_mb,host_mem_available_mb,load1
2026-09-19T00:02:58Z,idle,1,0.12,86.5,7941.1,1.09,31,0.01,180.8,7941.1,2.28,21,0.09,91.4,7941.1,1.15,8,0.00,12.8,7941.1,0.16,10,7,250,1,7941,1070,6870,0.69
2026-09-19T00:03:05Z,idle,2,0.13,86.5,7941.1,1.09,31,0.01,180.9,7941.1,2.28,21,17.75,91.5,7941.1,1.15,8,0.00,12.8,7941.1,0.16,10,7,250,1,7941,1062,6879,0.64
2026-09-19T00:03:13Z,idle,3,0.17,84.9,7941.1,1.07,31,0.01,181.0,7941.1,2.28,16,0.08,91.4,7941.1,1.15,8,0.00,12.8,7941.1,0.16,10,7,250,1,7941,1060,6880,0.54
2026-09-19T00:03:20Z,idle,4,0.22,87.4,7941.1,1.10,31,0.01,181.6,7941.1,2.29,16,0.12,91.4,7941.1,1.15,8,0.00,12.8,7941.1,0.16,10,7,250,1,7941,1076,6864,0.50
2026-09-19T00:03:27Z,idle,5,0.18,87.4,7941.1,1.10,31,0.03,181.5,7941.1,2.29,14,0.12,91.4,7941.1,1.15,8,0.00,12.8,7941.1,0.16,10,7,250,1,7941,1063,6877,0.46
2026-09-19T00:03:34Z,idle,6,0.20,87.4,7941.1,1.10,31,0.01,181.5,7941.1,2.29,14,0.14,91.4,7941.1,1.15,8,0.00,12.8,7941.1,0.16,10,7,250,1,7941,1076,6865,0.39
2026-09-19T00:03:42Z,idle,7,0.18,87.7,7941.1,1.10,31,0.01,181.5,7941.1,2.29,14,0.10,91.4,7941.1,1.15,8,0.08,12.9,7941.1,0.16,10,7,250,1,7941,1051,6889,0.35
2026-09-19T00:03:49Z,idle,8,0.21,87.7,7941.1,1.10,31,0.02,181.5,7941.1,2.29,14,0.11,91.4,7941.1,1.15,8,0.00,12.9,7941.1,0.16,10,7,250,1,7941,1060,6880,0.30
2026-09-19T00:03:56Z,idle,9,0.17,87.7,7941.1,1.10,31,0.01,181.5,7941.1,2.29,14,0.15,91.4,7941.1,1.15,8,0.53,13.0,7941.1,0.16,10,7,250,1,7941,1068,6873,0.27
2026-09-19T00:04:04Z,idle,10,0.31,83.8,7941.1,1.05,31,0.02,181.5,7941.1,2.29,14,0.10,91.4,7941.1,1.15,8,0.28,13.3,7941.1,0.17,10,7,250,1,7941,1064,6877,0.23
2026-09-19T00:04:11Z,idle,11,4.56,83.0,7941.1,1.05,31,0.01,181.5,7941.1,2.29,14,0.11,91.4,7941.1,1.15,8,0.30,13.3,7941.1,0.17,10,7,250,1,7941,1057,6883,0.21
2026-09-19T00:04:18Z,idle,12,0.22,83.0,7941.1,1.05,31,0.01,181.4,7941.1,2.28,12,0.12,91.4,7941.1,1.15,8,0.29,13.6,7941.1,0.17,10,7,250,1,7941,1061,6879,0.18
2026-09-19T00:04:25Z,idle,13,0.31,83.0,7941.1,1.04,31,0.01,181.4,7941.1,2.28,12,0.11,91.4,7941.1,1.15,8,0.15,13.8,7941.1,0.17,10,7,250,1,7941,1047,6893,0.16
2026-09-19T00:04:33Z,idle,14,0.17,83.0,7941.1,1.05,31,0.01,181.4,7941.1,2.28,12,0.14,91.4,7941.1,1.15,8,0.04,13.9,7941.1,0.18,10,7,250,1,7941,1048,6892,0.30
